Opening file: data/1k_128k.gr
This is an undirected graph
Read from file: num_nodes = 1024, num_edges = 262144
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.302399 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.296799 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.297439 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.298399 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.298239 ms
Kernel 2 TIme: 0.020640 ms
Kernel 1 Time: 0.297279 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.299679 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.299039 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.300639 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.297119 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.296479 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.297759 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.297439 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.298079 ms
Kernel 2 TIme: 0.018880 ms
Kernel 1 Time: 0.298559 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.298399 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.295518 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.293119 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.294879 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.295999 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.295839 ms
Kernel 2 TIme: 0.020799 ms
Kernel 1 Time: 0.292799 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.297279 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.296159 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.289759 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.291199 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.291999 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.291839 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.291839 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.293119 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.292319 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.287199 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.289759 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.286879 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.289439 ms
Kernel 2 TIme: 0.019519 ms
Kernel 1 Time: 0.291199 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.291199 ms
Kernel 2 TIme: 0.021760 ms
Kernel 1 Time: 0.289439 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.293279 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.285119 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.284639 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.286719 ms
Kernel 2 TIme: 0.019519 ms
Kernel 1 Time: 0.288959 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.286399 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.288799 ms
Kernel 2 TIme: 0.018880 ms
Kernel 1 Time: 0.287679 ms
Kernel 2 TIme: 0.018880 ms
Kernel 1 Time: 0.285759 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.283199 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.283679 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.284639 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.279519 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.284159 ms
Kernel 2 TIme: 0.019199 ms
Kernel 1 Time: 0.282399 ms
Kernel 2 TIme: 0.020960 ms
Kernel 1 Time: 0.281919 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.274559 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.276959 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.275679 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.272799 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.279359 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.277440 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.279039 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.272159 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.275199 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.277439 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.276959 ms
Kernel 2 TIme: 0.019039 ms
Kernel 1 Time: 0.277119 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.274879 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.277119 ms
Kernel 2 TIme: 0.018880 ms
Kernel 1 Time: 0.278559 ms
Kernel 2 TIme: 0.020640 ms
Kernel 1 Time: 0.272319 ms
Kernel 2 TIme: 0.019519 ms
Kernel 1 Time: 0.272479 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.266079 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.269120 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.269759 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.267679 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.268319 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.263679 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.260959 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.260479 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.260159 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.253599 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.249440 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.247839 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.248799 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.246719 ms
Kernel 2 TIme: 0.021280 ms
Kernel 1 Time: 0.246719 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.243839 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.239999 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.241279 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.237119 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.235199 ms
Kernel 2 TIme: 0.019040 ms
