Opening file: data/1k_128k.gr
This is an undirected graph
Read from file: num_nodes = 1024, num_edges = 262144
Kernel 1 Time: 0.151680 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.144800 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.131520 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.125439 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.115360 ms
Kernel 2 TIme: 0.018880 ms
Kernel 1 Time: 0.107360 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.096000 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.089280 ms
Kernel 2 TIme: 0.018880 ms
total number of colors used: 307
kernel time = 63.913822 ms
kernel + memcpy time = 281.451941 ms
Opening file: pannotia/dataset/color/ecology1.graph
This is an undirected graph
Read from file: num_nodes = 1000000, num_edges = 3996000
Kernel 1 Time: 0.231998 ms
Kernel 2 TIme: 0.049120 ms
Kernel 1 Time: 0.205920 ms
Kernel 2 TIme: 0.048000 ms
Kernel 1 Time: 0.127840 ms
Kernel 2 TIme: 0.047360 ms
Kernel 1 Time: 0.070560 ms
Kernel 2 TIme: 0.038240 ms
Kernel 1 Time: 0.040160 ms
Kernel 2 TIme: 0.031360 ms
Kernel 1 Time: 0.033280 ms
Kernel 2 TIme: 0.030400 ms
Kernel 1 Time: 0.031200 ms
Kernel 2 TIme: 0.030560 ms
Kernel 1 Time: 0.029120 ms
Kernel 2 TIme: 0.029440 ms
total number of colors used: 17
kernel time = 3.020048 ms
kernel + memcpy time = 240.277052 ms
Opening file: data/1k_128k.gr
This is an undirected graph
Read from file: num_nodes = 1024, num_edges = 262144
Kernel 1 Time: 0.393437 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.401438 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.379518 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.377758 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.379358 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.384478 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.383038 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.385438 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.386238 ms
Kernel 2 TIme: 0.028960 ms
Kernel 1 Time: 0.370079 ms
Kernel 2 TIme: 0.020800 ms
Kernel 1 Time: 0.372318 ms
Kernel 2 TIme: 0.021280 ms
Kernel 1 Time: 0.371678 ms
Kernel 2 TIme: 0.020960 ms
Kernel 1 Time: 0.373438 ms
Kernel 2 TIme: 0.020800 ms
Kernel 1 Time: 0.373438 ms
Kernel 2 TIme: 0.021120 ms
Kernel 1 Time: 0.375038 ms
Kernel 2 TIme: 0.020800 ms
Kernel 1 Time: 0.377118 ms
Kernel 2 TIme: 0.020960 ms
Kernel 1 Time: 0.379038 ms
Kernel 2 TIme: 0.021120 ms
Kernel 1 Time: 0.368158 ms
Kernel 2 TIme: 0.020800 ms
Kernel 1 Time: 0.378238 ms
Kernel 2 TIme: 0.021120 ms
Kernel 1 Time: 0.366398 ms
Kernel 2 TIme: 0.021120 ms
Kernel 1 Time: 0.369438 ms
Kernel 2 TIme: 0.020640 ms
Kernel 1 Time: 0.362398 ms
Kernel 2 TIme: 0.020480 ms
Kernel 1 Time: 0.348319 ms
Kernel 2 TIme: 0.020160 ms
Kernel 1 Time: 0.345758 ms
Kernel 2 TIme: 0.020480 ms
Kernel 1 Time: 0.331358 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.331678 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.322238 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.320478 ms
Kernel 2 TIme: 0.020480 ms
Kernel 1 Time: 0.320638 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.325278 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.322879 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.324639 ms
Kernel 2 TIme: 0.020480 ms
Kernel 1 Time: 0.332319 ms
Kernel 2 TIme: 0.019679 ms
Kernel 1 Time: 0.324319 ms
Kernel 2 TIme: 0.020159 ms
Kernel 1 Time: 0.330398 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.325118 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.330078 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.330398 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.319838 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.327518 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.323838 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.329278 ms
Kernel 2 TIme: 0.019360 ms
