Opening file: data/1k_128k.gr
This is an undirected graph
Read from file: num_nodes = 1024, num_edges = 262144
:Kernel 1 Time: 0.320800 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.315840 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.317920 ms
:Kernel 2 TIme: 0.025760 ms
:Kernel 1 Time: 0.312960 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.311360 ms
:Kernel 2 TIme: 0.019840 ms
:Kernel 1 Time: 0.312640 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.313120 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.321600 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.319520 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.316480 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.307680 ms
:Kernel 2 TIme: 0.019040 ms
:Kernel 1 Time: 0.310400 ms
:Kernel 2 TIme: 0.019680 ms
:Kernel 1 Time: 0.312960 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.311040 ms
:Kernel 2 TIme: 0.022720 ms
:Kernel 1 Time: 0.315680 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.313120 ms
:Kernel 2 TIme: 0.019840 ms
:Kernel 1 Time: 0.313920 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.314080 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.308640 ms
:Kernel 2 TIme: 0.020480 ms
:Kernel 1 Time: 0.311200 ms
:Kernel 2 TIme: 0.019040 ms
:Kernel 1 Time: 0.309920 ms
:Kernel 2 TIme: 0.020800 ms
:Kernel 1 Time: 0.313441 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.314400 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.315360 ms
:Kernel 2 TIme: 0.019680 ms
:Kernel 1 Time: 0.314880 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.308160 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.309760 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.308640 ms
:Kernel 2 TIme: 0.023360 ms
:Kernel 1 Time: 0.308960 ms
:Kernel 2 TIme: 0.019840 ms
:Kernel 1 Time: 0.310400 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.313761 ms
:Kernel 2 TIme: 0.018720 ms
:Kernel 1 Time: 0.306880 ms
:Kernel 2 TIme: 0.019680 ms
:Kernel 1 Time: 0.308640 ms
:Kernel 2 TIme: 0.019040 ms
:Kernel 1 Time: 0.306720 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.306720 ms
:Kernel 2 TIme: 0.020160 ms
:Kernel 1 Time: 0.309120 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.310880 ms
:Kernel 2 TIme: 0.019040 ms
:Kernel 1 Time: 0.309760 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.311040 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.308481 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.307200 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.307040 ms
